Data - PETR4;Fechamento - PETR4
06/09/2021;26,46
03/09/2021;26,33
02/09/2021;26,6
01/09/2021;27,04
31/08/2021;27,19
30/08/2021;28,3
27/08/2021;28,49
26/08/2021;27,49
25/08/2021;27,73
24/08/2021;27,58
23/08/2021;27,02
20/08/2021;26,6
19/08/2021;26,64
18/08/2021;26,79
17/08/2021;27,03
16/08/2021;27,03
13/08/2021;27,7
12/08/2021;27,46
11/08/2021;27,06
10/08/2021;26,69
09/08/2021;26,61
06/08/2021;26,79
05/08/2021;26,76
04/08/2021;24,8
03/08/2021;25,34
02/08/2021;24,93
30/07/2021;25,4
29/07/2021;26,25
28/07/2021;26,15
27/07/2021;25,62
26/07/2021;25,93
23/07/2021;25,24
22/07/2021;25,39
21/07/2021;25,44
20/07/2021;25,1
19/07/2021;24,76
16/07/2021;25,18
15/07/2021;25,56
14/07/2021;26,11
13/07/2021;26,33
12/07/2021;26,17
08/07/2021;25,94
07/07/2021;26,47
06/07/2021;26,11
05/07/2021;27,23
02/07/2021;27,54
01/07/2021;27,43
30/06/2021;27,78
29/06/2021;27,54
28/06/2021;27,42
25/06/2021;27,46
24/06/2021;27,98
23/06/2021;27,65
22/06/2021;27,46
21/06/2021;27,32
18/06/2021;26,73
17/06/2021;26,55
16/06/2021;27,5
15/06/2021;27,4
14/06/2021;27,13
11/06/2021;26,96
10/06/2021;27,07
09/06/2021;27,05
08/06/2021;27,05
07/06/2021;26,7
04/06/2021;26,9
02/06/2021;26,48
01/06/2021;25,76
31/05/2021;25,36
28/05/2021;25,47
27/05/2021;24,45
26/05/2021;24,62
25/05/2021;24,39
24/05/2021;24,91
21/05/2021;24,49
20/05/2021;24,47
19/05/2021;24,68
18/05/2021;24,87
17/05/2021;25,16
14/05/2021;24,8
13/05/2021;23,59
12/05/2021;23,39
11/05/2021;23,74
10/05/2021;23,31
07/05/2021;23,01
06/05/2021;22,18
05/05/2021;22,49
04/05/2021;21,6
03/05/2021;22,11
30/04/2021;22,29
29/04/2021;22,29
28/04/2021;22,59
27/04/2021;21,8
26/04/2021;22,44
23/04/2021;22,36
22/04/2021;22,38
20/04/2021;22,48
19/04/2021;22,92
16/04/2021;21,66
15/04/2021;21,79
14/04/2021;22,23
13/04/2021;21,89
12/04/2021;21,81
09/04/2021;21,59
08/04/2021;21,64
07/04/2021;21,91
06/04/2021;21,93
05/04/2021;21,95
01/04/2021;21,81
31/03/2021;22,01
30/03/2021;21,76
29/03/2021;21,76
26/03/2021;21,42
25/03/2021;21,18
24/03/2021;20,84
23/03/2021;20,82
22/03/2021;21,48
19/03/2021;21,91
18/03/2021;21,22
17/03/2021;21,99
16/03/2021;21,26
15/03/2021;21,59
12/03/2021;21,16
11/03/2021;21,27
10/03/2021;20,4
09/03/2021;19,71
08/03/2021;19,27
05/03/2021;20,44
04/03/2021;20,29
03/03/2021;19,35
02/03/2021;20,08
01/03/2021;20,09
26/02/2021;20,31
25/02/2021;21,17
24/02/2021;22,28
23/02/2021;21,97
22/02/2021;19,59
19/02/2021;24,95
18/02/2021;26,73
17/02/2021;27,02
12/02/2021;25,97
11/02/2021;25,64
10/02/2021;25,38
09/02/2021;25,15
08/02/2021;25,67
05/02/2021;26,5
04/02/2021;26,32
03/02/2021;26,34
02/02/2021;26,17
01/02/2021;25,14
29/01/2021;24,37
28/01/2021;25,35
27/01/2021;25
26/01/2021;24,65
22/01/2021;24,74
21/01/2021;25,16
20/01/2021;25,76
19/01/2021;26,2
18/01/2021;25,63
15/01/2021;25,68
14/01/2021;26,89
13/01/2021;26,62
12/01/2021;27,97
11/01/2021;28,18
08/01/2021;28,42
07/01/2021;28,31
06/01/2021;27,46
05/01/2021;27,43
04/01/2021;26,4
30/12/2020;25,88
29/12/2020;25,81
28/12/2020;25,73
23/12/2020;25,52
22/12/2020;24,91
21/12/2020;24,67
18/12/2020;25,66
17/12/2020;25,79
16/12/2020;25,74
15/12/2020;25,43
14/12/2020;25,22
11/12/2020;25,17
10/12/2020;25,4
09/12/2020;24,6
08/12/2020;24,34
07/12/2020;24,65
04/12/2020;25,14
03/12/2020;24,32
02/12/2020;23,66
01/12/2020;23,38
30/11/2020;22,74
27/11/2020;23,28
26/11/2020;23,58
25/11/2020;23,97
24/11/2020;23,94
23/11/2020;22,92
20/11/2020;21,59
19/11/2020;21,75
18/11/2020;21,5
17/11/2020;21,63
16/11/2020;21,27
13/11/2020;20,66
12/11/2020;20,01
11/11/2020;20,89
10/11/2020;21,07
09/11/2020;19,73
06/11/2020;18,03
05/11/2020;18,16
04/11/2020;18,01
03/11/2020;17,94
30/10/2020;17,29
29/10/2020;17,61
28/10/2020;17,05
27/10/2020;18,15
26/10/2020;18,49
23/10/2020;18,78
22/10/2020;19,03
21/10/2020;18,41
20/10/2020;18,43
19/10/2020;17,82
16/10/2020;17,65
15/10/2020;18,03
14/10/2020;18,23
13/10/2020;18,38
09/10/2020;18,08
08/10/2020;18,66
07/10/2020;18,07
06/10/2020;18,2
05/10/2020;18,29
02/10/2020;17,37
01/10/2020;18,12
30/09/2020;17,91
29/09/2020;17,63
28/09/2020;17,92
25/09/2020;18,38
24/09/2020;18,63
23/09/2020;18,47
22/09/2020;18,99
21/09/2020;19,08
18/09/2020;19,77
17/09/2020;20,22
16/09/2020;19,84
15/09/2020;19,79
14/09/2020;19,8
11/09/2020;19,98
10/09/2020;20,2
09/09/2020;20,75
08/09/2020;20,33
04/09/2020;20,93
03/09/2020;20,89
02/09/2020;20,82
01/09/2020;20,88
31/08/2020;19,99
28/08/2020;20,58
27/08/2020;20,22
26/08/2020;20,29
25/08/2020;20,88
24/08/2020;20,97
21/08/2020;20,6
20/08/2020;20,75
19/08/2020;20,9
18/08/2020;21,02
17/08/2020;20,64
14/08/2020;20,7
13/08/2020;20,85
12/08/2020;21,44
11/08/2020;21,07
10/08/2020;21,41
07/08/2020;20,81
06/08/2020;21,2
05/08/2020;21,17
04/08/2020;19,89
03/08/2020;19,91
31/07/2020;20,27
30/07/2020;20,84
29/07/2020;21,16
28/07/2020;20,82
27/07/2020;21,18
24/07/2020;20,75
23/07/2020;20,61
22/07/2020;21,05
21/07/2020;21,34
20/07/2020;20,76
17/07/2020;20,76
16/07/2020;20,74
15/07/2020;21,31
14/07/2020;20,91
13/07/2020;20,23
10/07/2020;20,55
09/07/2020;20,22
08/07/2020;20,68
07/07/2020;20,3
06/07/2020;20,55
03/07/2020;20,07
02/07/2020;20,14
01/07/2020;19,82
30/06/2020;19,68
29/06/2020;19,78
26/06/2020;19,03
25/06/2020;19,6
24/06/2020;19,17
23/06/2020;19,77
22/06/2020;19,13
19/06/2020;19,6
18/06/2020;19,72
17/06/2020;19,58
16/06/2020;19,51
15/06/2020;18,9
12/06/2020;18,81
10/06/2020;19,54
09/06/2020;19,83
08/06/2020;20,57
05/06/2020;20,18
04/06/2020;19,57
03/06/2020;19,6
02/06/2020;19,54
01/06/2020;18,56
29/05/2020;18,57
28/05/2020;18,05
27/05/2020;18,2
26/05/2020;17,96
25/05/2020;17,79
22/05/2020;17,05
21/05/2020;17,52
20/05/2020;17,62
19/05/2020;17,06
18/05/2020;16,93
15/05/2020;15,66
14/05/2020;15,89
13/05/2020;16,06
12/05/2020;16,56
11/05/2020;16,57
