Data - RAIL3;Fechamento - RAIL3;Data - RAILJ182;Fechamento;Data - RAILI182;Fechamento - RAILI182;Data - RAILJ185;Fechamento - RAILJ185;Data - RAILI187;Fechamento - RAILI187;Data - RAILJ187;Fechamento - RAILJ187;Data - RAILI190;Fechamento - RAILI190;Data - RAILJ190;Fechamento - RAILJ190;Data - RAILI192;Fechamento - RAILI192 ;Data - RAILJ192;Fechamento - RAILJ192;Data - RAILJ195;Fechamento - RAILJ195;Data - RAILI197;Fechamento - RAILI197;Data - RAILJ197;Fechamento - RAILJ197;Data - RAILI200;Fechamento - RAILI200;Data - RAILJ200;Fechamento - RAILJ200
10/09/2021;18,12;10/09/2021;0,77;10/09/2021;0,46;10/09/2021;0,74;10/09/2021;0,2;10/09/2021;0,72;10/09/2021;0,16;10/09/2021;0,55;10/09/2021;0,13;10/09/2021;0,5;10/09/2021;0,39;10/09/2021;0,06;10/09/2021;0,37;10/09/2021;0,02;10/09/2021;0,28
09/09/2021;18,56;09/09/2021;0,78;09/09/2021;0,85;09/09/2021;0,69;09/09/2021;0,5;09/09/2021;0,7;09/09/2021;0,4;09/09/2021;0,55;09/09/2021;0,23;06/09/2021;0,72;09/09/2021;0,54;09/09/2021;0,07;09/09/2021;0,29;09/09/2021;0,1;09/09/2021;0,43
08/09/2021;18,23;08/09/2021;0,88;08/09/2021;0,6;08/09/2021;0,78;08/09/2021;0,25;08/09/2021;0,68;08/09/2021;0,19;08/09/2021;0,58;08/09/2021;0,13;03/09/2021;0,71;08/09/2021;0,4;08/09/2021;0,07;08/09/2021;0,33;08/09/2021;0,05;08/09/2021;0,29
06/09/2021;18,94;03/09/2021;0,95;06/09/2021;0,59;06/09/2021;1,12;06/09/2021;0,57;03/09/2021;0,98;06/09/2021;0,39;06/09/2021;0,85;06/09/2021;0,37;02/09/2021;0,73;03/09/2021;0,66;06/09/2021;0,18;06/09/2021;0,55;06/09/2021;0,14;06/09/2021;0,47
03/09/2021;18,99;24/08/2021;1,41;03/09/2021;0,65;03/09/2021;1,15;03/09/2021;0,61;02/09/2021;0,96;03/09/2021;0,51;03/09/2021;0,86;03/09/2021;0,39;30/08/2021;0,66;02/09/2021;0,61;03/09/2021;0,2;03/09/2021;0,38;03/09/2021;0,14;03/09/2021;0,42
02/09/2021;19,01;23/08/2021;1,05;02/09/2021;1;02/09/2021;1,13;02/09/2021;0,66;01/09/2021;1,1;02/09/2021;0,5;02/09/2021;0,95;02/09/2021;0,42;26/08/2021;0,63;01/09/2021;0,78;02/09/2021;0,23;01/09/2021;0,7;02/09/2021;0,18;02/09/2021;0,49
01/09/2021;19,35;19/08/2021;0,85;01/09/2021;1,29;01/09/2021;1,43;01/09/2021;0,9;31/08/2021;0,79;01/09/2021;0,55;01/09/2021;1,11;01/09/2021;0,59;25/08/2021;0,69;31/08/2021;0,45;01/09/2021;0,35;31/08/2021;0,38;01/09/2021;0,25;01/09/2021;0,61
31/08/2021;18,72;18/08/2021;0,99;31/08/2021;0,68;31/08/2021;0,85;31/08/2021;0,45;30/08/2021;0,85;31/08/2021;0,33;31/08/2021;0,7;31/08/2021;0,24;24/08/2021;0,8;30/08/2021;0,52;31/08/2021;0,12;30/08/2021;0,46;31/08/2021;0,1;31/08/2021;0,34
30/08/2021;18,85;;;30/08/2021;0,92;30/08/2021;1,06;30/08/2021;0,6;26/08/2021;0,92;30/08/2021;0,43;30/08/2021;0,75;30/08/2021;0,36;17/08/2021;0,6;27/08/2021;0,64;30/08/2021;0,18;26/08/2021;0,43;30/08/2021;0,15;30/08/2021;0,36
27/08/2021;19,01;;;27/08/2021;0,94;27/08/2021;1,16;27/08/2021;0,63;25/08/2021;0,92;27/08/2021;0,51;27/08/2021;0,87;27/08/2021;0,42;;;26/08/2021;0,54;27/08/2021;0,23;25/08/2021;0,51;27/08/2021;0,18;27/08/2021;0,47
26/08/2021;18,73;;;26/08/2021;0,85;26/08/2021;0,92;26/08/2021;0,58;23/08/2021;0,84;26/08/2021;0,53;26/08/2021;0,72;26/08/2021;0,49;;;25/08/2021;0,62;26/08/2021;0,27;24/08/2021;0,55;26/08/2021;0,16;26/08/2021;0,37
25/08/2021;18,87;;;25/08/2021;0,96;24/08/2021;1,17;25/08/2021;0,67;20/08/2021;0,8;25/08/2021;0,52;25/08/2021;0,88;25/08/2021;0,43;;;24/08/2021;0,72;25/08/2021;0,26;23/08/2021;0,48;25/08/2021;0,2;25/08/2021;0,46
24/08/2021;18,73;;;24/08/2021;0,99;23/08/2021;0,96;24/08/2021;0,62;19/08/2021;0,82;24/08/2021;0,5;24/08/2021;0,84;24/08/2021;0,39;;;23/08/2021;0,57;24/08/2021;0,22;16/08/2021;0,73;24/08/2021;0,18;24/08/2021;0,48
23/08/2021;18,43;;;23/08/2021;0,76;20/08/2021;0,95;23/08/2021;0,5;17/08/2021;0,84;23/08/2021;0,42;23/08/2021;0,72;23/08/2021;0,33;;;20/08/2021;0,54;23/08/2021;0,18;13/08/2021;0,75;23/08/2021;0,14;23/08/2021;0,4
